Model,Accuracy,F1 Score,Precision,Recall,ROC AUC
SVM,0.5360230547550432,0.2332428847274941,0.4912913173782739,0.25145432275735824,0.7010219920095471
Logistic Regression,0.515850144092219,0.2565495152219926,0.479108846335737,0.26036380329240283,0.6786915460502811
Random Forest,0.5619596541786743,0.4210996605733447,0.4344896000048225,0.4130947416756161,0.7724339540220798
Decision Tree,0.5072046109510087,0.37041872931910697,0.36960356069051725,0.3723658615942158,0.6412936163702578
